rule_id,rule_class,rule_description,required_evidence,optional_evidence,if_missing
R015,provenance+privilege_confinement,Tool invocation must use immutable trusted tool identity and validated arguments.,event_id;trace_id;step_id;phase;action_type;action_name;typed_args;provenance;source_id;allowed_action_set;policy_version;status;decision,parent_event;pre_state;post_state;error_type,UNKNOWN; VIOLATION if untrusted or tampered tool is invoked
R016,privilege_confinement+permission,"Executable skills and tools must run inside a sandbox that mediates filesystem, network, environment, and credentials.",event_id;trace_id;step_id;phase;action_type;action_name;effect_type;target_resource;typed_args;allowed_action_set;policy_version;status;decision,pre_state;post_state;error_type;provenance,UNKNOWN; VIOLATION if out-of-sandbox resource access is allowed
R017,recovery_governance+privilege_confinement,"Security logs and audit records must not be overwritten, deleted, or truncated by arbitrary tools or skills.",event_id;trace_id;step_id;timestamp;phase;action_type;action_name;effect_type;target_resource;typed_args;status;reversibility;decision,error_type;pre_state;post_state;policy_version;provenance,"UNKNOWN; VIOLATION if protected log is deleted, truncated, or overwritten by non-logger"
R018,privilege_confinement+state_pre_post,"Filesystem access requires a scoped FileSystem capability, approved root, and non-escaping handles.",event_id;trace_id;step_id;phase;action_type;action_name;effect_type;target_resource;typed_args;allowed_action_set;pre_state;post_state;status;decision,error_type;policy_version;reversibility,UNKNOWN; VIOLATION if capability escapes scope or path outside root is allowed
R019,taint+privilege_confinement,Classified data transformations must be pure and cannot capture side-effect capabilities.,event_id;trace_id;step_id;phase;action_type;action_name;typed_args;taint;allowed_action_set;status;decision,source_id;provenance;error_type;tool_output,UNKNOWN; VIOLATION if classified data reaches side-effecting capability
R020,taint+provenance,Classified values must be redacted on agent-visible output channels.,event_id;trace_id;step_id;phase;action_type;action_name;effect_type;target_resource;typed_args;taint;output_ref;provenance;status;decision,source_id;tool_output;causal_path;policy_version,UNKNOWN; VIOLATION if classified plaintext is emitted to agent-visible output
R021,permission+privilege_confinement,Network access requires an active Network capability and destination host allowlist.,event_id;trace_id;step_id;phase;action_type;action_name;effect_type;target_resource;typed_args;allowed_action_set;status;decision,policy_version;approval.status;source_id;provenance,UNKNOWN; VIOLATION if destination host outside allowed set is allowed
R022,taint+provenance,Prompt-derived or LLM-derived data must not reach security-sensitive sinks without sanitization.,event_id;trace_id;step_id;timestamp;parent_event;phase;action_type;action_name;effect_type;target_resource;typed_args;input_refs;output_ref;provenance;source_id;taint;causal_path;status,error_type;tool_output;decision,UNKNOWN; VIOLATION if unsanitized taint reaches security-sensitive sink
R023,taint,Security-sensitive sinks must be explicitly classified and monitored.,event_id;trace_id;step_id;phase;action_type;action_name;effect_type;target_resource;typed_args;taint;status;decision,provenance;source_id;error_type;policy_version,UNKNOWN; VIOLATION if unclassified or unmonitored sensitive sink executes
R024,provenance,LLM-selected tool/component needs provenance from prompt and response to runtime call chain.,event_id;trace_id;step_id;timestamp;parent_event;phase;action_type;action_name;typed_args;input_refs;output_ref;provenance;source_id;causal_path;status,tool_output;policy_version;decision,UNKNOWN
R025,temporal+taint+provenance,Stored prompt payloads can create second-order vulnerabilities when later retrieved into sinks.,event_id;trace_id;step_id;timestamp;parent_event;phase;action_type;action_name;effect_type;target_resource;typed_args;input_refs;output_ref;provenance;source_id;taint;causal_path;status,pre_state;post_state;error_type;policy_version;decision,UNKNOWN; VIOLATION if stored taint later reaches sink unsanitized
