paper_id,paper_title,year,rule_id,rule_description,normalized_rule,rule_class,trigger,condition,required_evidence,verdict_type,backend_candidate,notes
P03,AgentBound: Securing Execution Boundaries of AI Agents,2026,R011,Outbound network traffic must be restricted to manifest/user-approved endpoints.,"Block network_connect when the destination host, IP, or URL is outside the allowed endpoint set derived from manifest and runtime permission.",privilege_confinement,effect_type=network_connect,target_host NOT_IN allowed_network_endpoints,action_name;requested_url;hostname;ip_address;declared_network_capability;allowed_endpoints;runtime_permission;server_id;dns_resolution;decision_status,SAFE/VIOLATION/UNKNOWN,Firewall/iptables/Python/SMT,P03 Rule 3; egress confinement.
P03,AgentBound: Securing Execution Boundaries of AI Agents,2026,R012,Filesystem access must be scoped by approved path and access mode.,Allow file read/write/delete only when the path is inside approved scope and the requested access mode is covered by granted permission.,privilege_confinement,"effect_type IN {read,write,delete} AND target_resource=filesystem",path_outside_scope OR requested_mode_exceeds_grant,action_name;effect_type;file_path;directory_scope;access_mode;declared_capability;runtime_permission;mount_config;user_consent;decision_status,SAFE/VIOLATION/UNKNOWN,Path-policy checker/Python/Hoare/SMT/container mounts,P03 Rule 4; filesystem confinement.
P03,AgentBound: Securing Execution Boundaries of AI Agents,2026,R013,OS command execution requires explicit system-exec capability and approved command scope.,"Block subprocess, shell, or CLI execution unless mcp.ac.system.exec is declared and the concrete command is approved by runtime permission.",privilege_confinement,effect_type=execute AND target_resource=system_command,missing_system_exec_capability OR command NOT_IN approved_command_scope,command_string;process_invocation;declared_capability;runtime_permission;approved_command_scope;server_id;sandbox_status;access_decision,SAFE/VIOLATION/UNKNOWN,Python/Syscall monitor/Policy DSL/SMT,P03 Rule 5; command-execution confinement.
P04,Toward Securing AI Agents Like Operating Systems,2026,R014,"Untrusted data must not be mixed with privileged context without isolation, labeling, or sanitization.","Before untrusted input or tool output influences privileged tool calls, require isolation, provenance labeling, or sanitization.",taint,phase=context_append AND source.trust=untrusted,context.contains_privileged_data=true AND no_isolation_sanitization_or_label=true,source_id;trust_label;message_position;parent_event;context_scope;downstream_tool_call_link;sanitization_status;provenance_label,SAFE/VIOLATION/UNKNOWN,Taint monitor/Python/LTL/IFC,P04 Rule 1; context-integrity and process-isolation rule.
P04,Toward Securing AI Agents Like Operating Systems,2026,R015,Tool invocation must use immutable trusted tool identity and validated arguments.,"Block tool invocation if tool provenance is missing, implementation path has changed, tool is unregistered, or arguments contain command injection.",provenance,phase=before_action AND action_type=tool_call,tool_unregistered OR tool_path_changed OR argument_integrity_failed OR provenance_missing,tool_name;tool_id_path;tool_provenance;registration_record;arguments;caller_skill;environment_variables;previous_modification_events,SAFE/VIOLATION/UNKNOWN,Signed tool registry/Python/Hoare/SMT,P04 Rule 2; tool provenance/interface mediation.
P04,Toward Securing AI Agents Like Operating Systems,2026,R016,"Executable skills and tools must run inside a sandbox that mediates filesystem, network, environment, and credentials.",Deny skill/tool execution or resource access when requested effects exceed the sandbox scope or escape a mediated environment.,privilege_confinement,event_type=skill_process_start OR event_type=resource_access,resource_outside_sandbox_policy OR sandbox_escape_detected,skill_id;tool_id;process_id;sandbox_id;allowed_paths;allowed_domains;allowed_env_vars;credential_scope;resource_request;monitor_event,SAFE/VIOLATION/UNKNOWN,Container/WASM/eBPF/Python policy checker,P04 Rule 3; OS-like sandboxing.
P04,Toward Securing AI Agents Like Operating Systems,2026,R017,"Security logs and audit records must not be overwritten, deleted, or truncated by arbitrary tools or skills.","Allow log writes only from trusted runtime logger in append-only mode; block delete, truncate, or overwrite and raise tampering verdict.",recovery_governance,"effect_type IN {write,delete,truncate} AND target_resource=log_or_audit_file",caller_id!=runtime_logger OR append_only_status=false OR protected_log_target=true,caller_id;file_path;operation_type;log_file_classification;previous_log_hash;sequence_id;append_only_status;tamper_alert,SAFE/VIOLATION/UNKNOWN,eBPF/append-only storage/Python integrity checker,P04 Rule 6; audit integrity as governance evidence.
P05,Tracking Capabilities for Safer Agents,2026,R018,"Filesystem access requires a scoped FileSystem capability, approved root, and non-escaping handles.","Reject or block filesystem access if FileSystem capability is missing, path is outside approved root, or FileEntry/FileSystem handle escapes capability scope.",privilege_confinement,"event_type=code_compile OR effect_type IN {file_read,file_write,file_delete,file_list}",missing_FileSystem_capability OR path_outside_root OR capability_handle_escapes_scope,code_snippet;requested_path;approved_root;FileSystem_capability_id;capability_scope;FileEntry_capture_set;compile_diagnostic;runtime_path_check,SAFE/VIOLATION/UNKNOWN,Scala 3 capture checker/Hoare/Python/SMT,P05 Rule 1; capability lifetime/scope.
P05,Tracking Capabilities for Safer Agents,2026,R019,Classified data transformations must be pure and cannot capture side-effect capabilities.,"Reject Classified.map/flatMap transformations when the closure captures IO, filesystem, network, process, or other effect capabilities.",taint,"function_call IN {Classified.map,Classified.flatMap}",closure_capture_set NOT_EMPTY,classified_value_id;classified_type;closure_body;inferred_capture_set;required_pure_function_type;compiler_diagnostic,SAFE/VIOLATION/UNKNOWN,Scala 3 capture checker/static IFC/Taint monitor,P05 Rule 2; local non-interference rule.
P05,Tracking Capabilities for Safer Agents,2026,R020,Classified values must be redacted on agent-visible output channels.,"If value type is Classified[T] and output channel is observable by the cloud agent, emit only redacted representation; plaintext is allowed only through secure user-only channel.",taint,"function_call IN {println,print,toString,REPL_output} OR event_type=return_value",value.classification=classified AND output_channel=agent_visible,value_type;classification_label;output_channel_id;recipient;redaction_result;secure_channel_status;context_insertion_event,SAFE/VIOLATION/UNKNOWN,Runtime output-channel monitor/Taint/Policy DSL,P05 Rule 3; output-channel confidentiality.
P05,Tracking Capabilities for Safer Agents,2026,R021,Network access requires an active Network capability and destination host allowlist.,Block httpGet/httpPost unless a scoped Network capability is active and URL host is in allowedHosts.,permission,"function_call IN {httpGet,httpPost}",missing_Network_capability OR url_host NOT_IN allowedHosts,url;parsed_host;allowed_host_set;Network_capability_id;capability_scope;code_location;runtime_decision,SAFE/VIOLATION/UNKNOWN,Scala capability library/Firewall/Policy DSL/SMT,P05 Rule 5; typed egress control.
P06,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,2025,R022,Prompt-derived or LLM-derived data must not reach security-sensitive sinks without sanitization.,Report violation when tainted data from user prompt or LLM response flows into a security-sensitive sink argument without adequate sanitizer or validator on the path.,taint,phase=before_action AND function_call.method IN security_sensitive_sink_set,tainted(source=user_prompt_or_llm_response) reaches sink_argument AND sanitizer_status=missing_or_inadequate,source_prompt;LLM_response;selected_tool;runtime_argument;sink_function;sink_argument;dataflow_link;sanitizer_status;execution_order,SAFE/VIOLATION/UNKNOWN,Taint monitor/Python/CodeQL/SMT/dynamic instrumentation,P06 Rule 1; core source-to-sink rule.
P06,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,2025,R023,Security-sensitive sinks must be explicitly classified and monitored.,"When a call matches a predefined sensitive sink signature, require sink-specific validation and taint evidence; otherwise mark the sink call high-risk or unknown.",taint,function_call.method IN predefined_sink_set,called_function_matches_sink_signature=true,package;class_name;method_name;parameters;sink_type;callsite_id;runtime_stack_frame;sink_argument_values;validator_status,SAFE/VIOLATION/UNKNOWN,CodeQL sink detector/static registry/Python audit hook/sys.settrace,"P06 Rule 2; covers code, command, SQL, SSRF, and template sinks."
P06,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,2025,R024,LLM-selected tool/component needs provenance from prompt and response to runtime call chain.,"If the LLM selects a component whose call chain reaches a sink, record prompt, LLM response, parsed action, and call-chain provenance; otherwise evidence is incomplete.",provenance,event_type=parsed_action AFTER event_type=LLM_response,selected_component_call_chain_reaches_sink=true,user_prompt;LLM_response;parsed_action_name;component_class;method_names;target_call_chain;semantic_score;distance_score;execution_trace,SAFE/VIOLATION/UNKNOWN,Python trace monitor/CodeQL/evidence-completeness checker,P06 Rule 3; tool-selection provenance.
P06,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,2025,R025,Stored prompt payloads can create second-order vulnerabilities when later retrieved into sinks.,Preserve cross-turn taint provenance from prompt-derived stored values to later sink arguments; violation if retrieved taint reaches a sink unsanitized.,temporal,event_type=state_write FROM prompt_or_llm_output AND later event_type=state_read_to_sink,stored_value.origin=user_prompt AND later_sink_argument.contains(stored_value) AND sanitizer_status=missing,session_id;prompt_id;stored_value;storage_location;retrieval_event;sink_argument;cross_turn_causal_link;timestamp_order;sanitizer_status,SAFE/VIOLATION/UNKNOWN,Stateful taint tracker/LTL/replay monitor/temporal database verifier,P06 Rule 8; secondary class=taint/provenance.
