field,type,required_level,meaning,needed_by_rule_class,example_policy,if_missing,source_or_justification
raw_event_ref,string,required,Pointer to original raw trace event,debugging;preservation,All policies,INVALID_TRACE,Needed for audit/debug and to trace normalized event back to raw evidence
metadata,object,optional,Adapter/debug metadata not part of verifier-neutral core,debugging;preservation,Adapter ambiguity tracking,UNKNOWN,Needed for non-core extraction notes without polluting verifier fields
taint.label,string|null,optional,Trust/contamination/sensitivity label,taint;provenance;permission;privilege_confinement,No untrusted input to exec/sql/send sinks,UNKNOWN,Needed to distinguish trusted/untrusted/sensitive/sanitized data
taint.source,string|null,optional,Source category or source id for tainted data,taint;provenance,No retrieval-derived prompt injection to tool call,UNKNOWN,Needed to localize where unsafe data entered the trace
taint.reason,string|null,optional,Human-readable reason for taint label,taint;recovery_governance,Explain why a value is untrusted,UNKNOWN,Needed for auditability and C2 missing/violation explanations
taint.sanitizer_status,string|null,optional,Whether sanitizer was applied before a sink,taint,Untrusted input must not reach eval without sanitizer,UNKNOWN,Needed to avoid false violation when data was sanitized
taint.validator_status,string|null,optional,Whether validator/policy checker accepted the data,taint;permission,Untrusted URL must be validated before network request,UNKNOWN,Needed to distinguish validated from unchecked data flows
taint.declassification_event,string|null,optional,Event that declassified sensitive/classified data,taint;provenance;privilege_confinement,Classified data must be declassified before external output,UNKNOWN,Needed for information-flow rules that allow controlled release
taint.causal_path,array|null,optional,Ordered source-to-sink event path,taint;provenance;temporal;recovery_governance,Prompt-derived data must not reach command execution,UNKNOWN,Needed to prove or reject source-to-sink reachability
approval.exists,boolean|null,optional,Whether an approval event exists,permission;temporal;privilege_confinement;recovery_governance,Approval before external send,UNKNOWN,Needed to check approval presence without requiring every event to be an approval
approval.status,string|null,optional,Approval result/status,permission;temporal;privilege_confinement;recovery_governance,Delete file requires user confirmation,UNKNOWN,Needed to distinguish approved/rejected/missing/expired/not_required
approval.target,json|null,optional,Concrete action/resource/argument covered by approval,permission;temporal;privilege_confinement;provenance,Approval for one recipient must not approve another recipient,UNKNOWN,Needed for same-target binding
approval.approved_by,string|null,optional,Actor/user/policy authority that approved the action,permission;privilege_confinement;recovery_governance,Privileged policy expansion requires authorized approval,UNKNOWN,Needed for authority/audit checks
approval.approval_event,string|null,optional,Event id of the approval record,permission;temporal;provenance;recovery_governance,Approval must occur before external send,UNKNOWN,Needed to link approval evidence to event order
policy.policy_version,string|null,optional,Active policy/manifest/sandbox profile version,privilege_confinement;permission;temporal;recovery_governance;provenance,No unapproved policy expansion,UNKNOWN,Needed to know which rule set/capability manifest evaluated the event
policy.allowed_action_set,array,optional,Actions/resources/effects currently allowed by policy,permission;privilege_confinement;state_pre_post;recovery_governance,Network access only to approved endpoints,UNKNOWN,Needed for allowlist/capability set-membership checks
decision.verdict,string|null,optional,Verifier result for this event/rule context,recovery_governance;permission;temporal;state_pre_post;privilege_confinement,If evidence missing return UNKNOWN not SAFE,UNKNOWN,Needed to preserve safe/violation/unknown/inconsistent status
decision.route,string|null,optional,Governance route/action after verdict,recovery_governance;permission,"Block, retry, replan, or ask user after violation/unknown",UNKNOWN,Needed to check intervention before continuation
decision.reason,string|null,optional,Explanation for decision or route,recovery_governance;debugging,Explain why event was blocked or marked unknown,UNKNOWN,Needed for auditability and reviewer diagnosis
decision.missing_evidence,array,optional,Evidence fields missing for a rule check,recovery_governance;preservation,Do not report SAFE when evidence is missing,UNKNOWN,Needed for preservation checker output and ablation analysis
